step,lat,lon,alt,reward
39,28.078532000927677,77.56282861153468,29500.0,-5000.243776381429
40,28.066500881668404,77.57413920166844,30000.0,-5000.243417093914
41,28.054478426689307,77.58542229319933,30500.0,-5000.2430554651055
42,28.042464686654334,77.5966777162541,31000.0,-5000.242691630918
43,28.030459715952723,77.60790529350896,31500.0,-5000.242325479556
44,28.01846355984675,77.619104859561,32000.0,-5000.241957221586
45,28.00647626341243,77.63027624602712,32500.0,-5000.241586828995
46,27.994497871912042,77.6414192860143,33000.0,-5000.241214314881
47,27.98252833822066,77.65253399442369,33500.0,-5000.240842421006
48,27.97056672971186,77.66362218472663,34000.0,-5000.240497988123
49,27.958612812251143,77.67468422647191,34500.0,-5000.2401595920655
50,27.946665637752133,77.68572192270003,35000.0,-5000.239848707277
51,27.93472517045204,77.69673524062843,35500.0,-5000.239537852283
52,27.922791375146872,77.70772414747456,36000.0,-5000.239227021519
53,27.910862188398333,77.71869188871133,36500.0,-5000.2389692798515
54,27.898936601770338,77.72964069951293,37000.0,-5000.238743974294
55,27.88701451225861,77.74057068567758,37500.0,-5000.238520756755
56,27.87509581220226,77.75148195151343,38000.0,-5000.23829965892
57,27.86317960715909,77.76237430926584,38500.0,-5000.238085627969
58,27.851262894731377,77.7732536836365,39000.0,-5000.23796086796
59,27.839340673903166,77.78413011204759,39500.0,-5000.237986492391
60,27.827410146422647,77.7950117841773,40000.0,-5000.238121996115
61,27.815470346135783,77.80590143736896,40000.0,-0.23829453479062068
62,27.803531086574804,77.81678966898984,40000.0,-0.23827491182397353
63,27.791592364945746,77.82767648500041,40000.0,-0.23825537638709648
64,27.77965418385631,77.83856188391054,40000.0,-0.23823579998657807
65,27.76771654107132,77.84944586572024,40000.0,-0.2382162459596293
66,27.755779437708366,77.8603284289394,40000.0,-0.23819666581199272
67,27.743842872463595,77.87120957654824,40000.0,-0.23817712851974648
68,27.731906847572183,77.88208930854677,40000.0,-0.23815756892669016
69,27.719971360053897,77.89296762195475,40000.0,-0.23813800926087425
70,27.708036421829664,77.90384447355882,40000.0,-0.23811789825937013
71,27.69610203550719,77.91471985441828,40000.0,-0.23809767182479846
72,27.684168200341418,77.92559376304301,40000.0,-0.23807743793237024
73,27.672234916704873,77.93646620092314,40000.0,-0.23805721513577738
74,27.66030218273491,77.94733717103888,40000.0,-0.2380370408698218
75,27.648369997500208,77.95820667339025,40000.0,-0.2380168758443324
76,27.636438363422204,77.96907470499701,40000.0,-0.23799665686761728
77,27.624507279755843,77.97994126436905,40000.0,-0.23797643039666583
78,27.612576745756066,77.9908063559767,40000.0,-0.23795625605795068
79,27.600646763285518,78.00166997683975,40000.0,-0.2379360333341174
80,27.58871733029529,78.0125321284483,40000.0,-0.2379158460078179
81,27.576788446599114,78.02339281229247,40000.0,-0.23789567537984113
82,27.564860113500846,78.03425202390193,40000.0,-0.23787544708990027
83,27.552932329324104,78.04510976625689,40000.0,-0.23785526529332857
84,27.54100509332383,78.0559660438277,40000.0,-0.23783513573813253
85,27.529078406803873,78.06682085214402,40000.0,-0.23781494833907346
86,27.51715227106809,78.07767418822561,40000.0,-0.2377947181937634
87,27.505226682577447,78.08852605803294,40000.0,-0.23777458296332044
88,27.49330164375339,78.09937645858578,40000.0,-0.23775439378165175
89,27.48137715347833,78.11022538988412,40000.0,-0.23773421573219822
90,27.469453210820944,78.12107285639831,40000.0,-0.23771409170672997
91,27.457529817271347,78.1319188521679,40000.0,-0.23769389321183554
92,27.44560697208448,78.142763378683,40000.0,-0.2376737170177512
93,27.433684673397703,78.15360643892383,40000.0,-0.23765358928154456
94,27.421762923818715,78.16444802991018,40000.0,-0.23763340562960367
95,27.4098417218574,78.17528815462225,40000.0,-0.2376132667248021
96,27.397921066768703,78.18612681306007,40000.0,-0.23759313527785708
97,27.38600095929768,78.19696400373351,40000.0,-0.2375729814573424
98,27.374081399816856,78.20779972664258,40000.0,-0.23755282388970955
99,27.362162386649857,78.21863398327737,40000.0,-0.2375326980088721
100,27.35024391979668,78.22946677661814,40000.0,-0.2375126019594609
101,27.338326001492497,78.2402980992143,40000.0,-0.23749240899429425
102,27.326408627639495,78.25112795851643,40000.0,-0.23747233153495473
103,27.31449180084537,78.26195634856407,40000.0,-0.2374521684375941
104,27.30257551999254,78.27278327531768,40000.0,-0.23743207606254146
105,27.29065978694365,78.28360873281679,40000.0,-0.23741190547094448
106,27.278744600767375,78.29443272255152,40000.0,-0.23739175910828636
107,27.266829957365896,78.30525525048235,40000.0,-0.23737171333574225
108,27.25491586120956,78.3160763106488,40000.0,-0.23735156322596596
109,27.243002310249462,78.32689590752122,40000.0,-0.23733147830876988
