step,lat,lon,alt,reward
0,51.47,-0.4543,10000,0
1,30.0,70.0,10368.902534246445,-4391.704342464447
2,29.98714534109357,70.0,9925.342231988907,2942.309115764451
3,29.974273003449497,70.0,9517.577767372131,-4077.7833695441955
4,29.961386150584307,70.0,9142.981797456741,-3746.0985676825526
5,29.948487294088718,70.0,8798.948585987091,-3440.4711032614596
6,29.935580613738445,70.0,8486.057192087173,-3129.053005802678
7,29.922668248595176,70.0,8201.6960978508,-2843.750066015171
8,29.909751956250872,70.0,7943.420588970184,-2582.8942517295973
9,29.89683316721701,70.0,7708.9541256427765,-2344.803821164417
10,29.883913040058875,70.0,7496.1878806352615,-2127.801651346729
11,29.870992500138573,70.0,7303.177013993263,-1930.2478718191858
12,29.858072280593237,70.0,7128.133922815323,-1750.570113974857
13,29.845152955117573,70.0,6969.4191217422485,-1587.2872039855
14,29.83223493796386,70.0,6824.913844466209,-1445.19195293193
15,29.819318516724515,70.0,6693.193137645721,-1317.346232417274
16,29.806403908211426,70.0,6573.136657476425,-1200.7039477780952
17,29.793491271121965,70.0,6463.7201353907585,-1094.3043472275601
18,29.78058072094013,70.0,6364.006206393242,-997.2783954769855
19,29.767672332171724,70.0,6273.138478398323,-908.8163638368703
20,29.7547661003464,70.0,6190.28852134943,-828.638632807181
21,29.741862045580728,70.0,6114.745430648327,-755.5699475586905
22,29.72896017383517,70.0,6045.863479375839,-688.9585314423337
23,29.71606047616903,70.0,5983.054555952549,-628.2282312095665
24,29.703162934700917,70.0,5925.781726837158,-572.8672665685806
25,29.69026752111862,70.0,5873.5558949410915,-522.3972730964922
26,29.677374204874763,70.0,5825.929846614599,-476.39941642736426
27,29.66448294871644,70.0,5782.4968956410885,-434.46842229669323
28,29.65159371539075,70.0,5742.885369807482,-396.2541506693176
29,29.638706463919497,70.0,5706.757131963968,-361.42125094985
30,29.625821155559667,70.0,5673.803500831127,-329.67516441200837
31,29.61293776870457,70.0,5643.710507079959,-301.0687713802397
32,29.600056288453047,70.0,5616.182122379541,-275.4226618066857
33,29.58717667159173,70.0,5591.001860797405,-251.9414119899718
34,29.57429887639737,70.0,5567.972369492054,-230.43369100546238
35,29.561422863381893,70.0,5546.911487355828,-210.74758149241256
36,29.548548597527564,70.0,5527.654310688376,-192.71050933305355
37,29.535676040836425,70.0,5510.048620402813,-176.19562842255414
38,29.522805162016034,70.0,5493.9557034522295,-161.06787829403197
39,29.509935929773956,70.0,5479.248199611902,-147.213730725696
40,29.497068315797982,70.0,5465.808197855949,-134.5386936992852
41,29.484202292520965,70.0,5453.530358150601,-122.91705728625654
42,29.471337834610935,70.0,5442.315697669983,-112.28524938528405
43,29.458474919716146,70.0,5432.074962183833,-102.54598401044656
44,29.44561352399474,70.0,5422.72562533617,-93.63198243384228
45,29.432753628820265,70.0,5414.1935762017965,-85.45909029547853
46,29.41989521556627,70.0,5406.409792136401,-77.97642478650029
47,29.407038265606307,70.0,5399.310999549925,-71.12649536434925
48,29.39418276478427,70.0,5392.839320469648,-64.8553458109998
49,29.38132869596382,70.0,5386.942004784942,-59.111697535261335
50,29.368476046478975,70.0,5381.570888217539,-53.84969216888545
51,29.355624805153862,70.0,5376.681317575276,-49.034218835875215
52,29.342774960067555,70.0,5372.2333130426705,-44.61854377692158
53,29.329926499299123,70.0,5368.189163506031,-40.57997997407052
54,29.317079413162812,70.0,5364.5149557851255,-36.880548070419316
55,29.304233693462983,70.0,5361.180058680475,-33.48742824350462
56,29.291389335729285,70.0,5358.14798111096,-30.459219272486518
57,29.278546350392535,70.0,5355.357626453042,-28.04197643254862
58,29.265704732982382,70.0,5352.787114214152,-25.84353856300164
59,29.25286447828342,70.0,5350.417637266219,-23.833172026322938
60,29.240025595236347,70.0,5348.217685241252,-22.137909080136307
61,29.227188100232436,70.0,5346.153317019343,-20.78205716912431
62,29.21435199029146,70.0,5344.212483149022,-19.546699802629302
63,29.201517261688124,70.0,5342.38354768604,-18.42770191585056
64,29.188683912932316,70.0,5340.657445136458,-17.39935898338241
65,29.175851942533917,70.0,5339.0245847404,-16.46692366455478
66,29.16302134676764,70.0,5337.477165739983,-15.61249596183894
67,29.150192124143366,70.0,5336.007264442742,-14.83730519865072
68,29.137364273916038,70.0,5334.608538541943,-14.12553751026986
69,29.124537792360368,70.0,5333.274831995368,-13.475330281296701
70,29.11171267947635,70.0,5331.999573390931,-12.890837173215695
71,29.098888933028817,70.0,5330.777770839632,-12.35626297747127
72,29.086066553017766,70.0,5329.605415929109,-11.861772905338293
73,29.073245537953078,70.0,5328.478403389454,-11.408335547191891
74,29.06042588634464,70.0,5327.391767408699,-11.004556323639699
75,29.047607597447392,70.0,5326.341700740159,-10.63884957436836
76,29.03479066977122,70.0,5325.325772631913,-10.297450359219292
77,29.02197510406118,70.0,5324.3411388248205,-9.984493728022935
78,29.009160897337043,70.0,5323.383939918131,-9.710131134140974
79,28.996348051088923,70.0,5322.45257217437,-9.451805900087274
80,28.98353656457176,70.0,5321.544899139553,-9.214845213344015
81,28.9707264370405,70.0,5320.658314973116,-9.003942939687258
82,28.957917668495142,70.0,5319.7917505167425,-8.803732249187087
83,28.945110257445567,70.0,5318.942184560001,-8.633733677904965
84,28.932304203891775,70.0,5318.109637591988,-8.463530215674618
85,28.91949950634365,70.0,5317.29131937027,-8.321229192659084
86,28.906696166291315,70.0,5316.486538853496,-8.185838568258768
87,28.893894182989705,70.0,5315.693934448063,-8.064063887348093
88,28.881093554203648,70.0,5314.912802074105,-7.949330027447795
89,28.868294283658432,70.0,5314.141400158405,-7.852011862439904
90,28.855496369118885,70.0,5313.379957806319,-7.752402666262933
91,28.84269980983995,70.0,5312.626863829792,-7.6689053580664766
92,28.829904606566682,70.0,5311.881622765213,-7.590362678509118
93,28.817110758554026,70.0,5311.143031343818,-7.523852694082743
94,28.80431826580198,70.0,5310.411020647734,-7.4580318883524885
95,28.791527129800663,70.0,5309.791465289891,-6.3334649384503425
96,28.778737347569837,70.0,5309.284097049385,-5.2115802273672305
97,28.765948916874333,70.0,5308.877930045128,-4.199554349532045
98,28.753161835478974,70.0,5308.564228471369,-3.2748865515420764
99,28.740376101148588,70.0,5308.334304951131,-2.4370925456767143
100,28.727591710902942,70.0,5308.180572930723,-1.6751641065345757
101,28.714808663996976,70.0,5308.096431195736,-0.9792478189390386
102,28.702026959685636,70.0,5308.0755895935,-0.3462330654726975
103,28.689246594988685,70.0,5308.112303726375,0.22933768178721947
104,28.676467568416008,70.0,5308.201281819493,0.7519906654508668
105,28.66368987996761,70.0,5308.337802067399,1.2274255945724144
106,28.650913528153367,70.0,5308.517317753285,1.657393340721901
107,28.63813851148317,70.0,5308.736995793879,2.059030239235872
108,28.625364829211957,70.0,5308.991851750761,2.4108227461076606
109,28.61259248059467,70.0,5309.279540553689,2.739164543110965
110,28.59982146563131,70.0,5309.596769046038,3.034574773857676
111,28.587051782086704,70.0,5309.940571896732,3.30033167149144
112,28.574283432196022,70.0,5310.309133026749,3.5479278012573925
113,28.561516412233978,70.0,5310.70014834404,3.772482973292645
