step,lat,lon,alt,reward
0,28.5562,77.1,10000,0
1,28.550846407207146,77.08936615362478,10079.984843730927,-799.8056347734416
2,28.54548979692915,77.07873168214586,10148.856982588768,-688.6786099664055
3,28.54013097680895,77.06809711231926,10208.17732065916,-593.1606232068619
4,28.53477057493049,77.05746280177289,10259.291127324104,-511.0953275627579
5,28.529409084522204,77.04682898892528,10303.357191383839,-440.6179173729506
6,28.524046889288993,77.03619582874855,10341.370765119791,-380.093027710088
7,28.518684293959605,77.02556341586504,10374.188903719187,-328.13868781841643
8,28.513321542168026,77.01493180242883,10402.54751034081,-283.54337759978444
9,28.507958828374406,77.00430101526202,10427.079210057855,-245.2743164367157
10,28.502596309785996,76.99367106032506,10448.327492922544,-212.44015428341322
11,28.49723409667139,76.98304193538277,10466.758664697409,-184.2690486303652
12,28.49187221659774,76.9724136382,10482.775755226612,-160.12824112094245
13,28.486510763442357,76.96178615015026,10496.723229065537,-139.43207804031113
14,28.481149814691282,76.95115945260713,10508.893890306354,-121.66395492024004
15,28.475789435909622,76.94053352470898,10519.539913162589,-106.41757307118975
16,28.470429679251442,76.9299083470843,10528.878029435873,-93.33850852317507
17,28.46507059091034,76.91928390185168,10537.093959748745,-82.11664955980406
18,28.45971220888428,76.90866017187481,10544.347195420414,-72.48970323718392
19,28.45435456297558,76.89803713927228,10550.774634815753,-64.23174008644561
20,28.448997681496454,76.88741479286821,10556.49337777868,-57.1447749800168
21,28.443641586798638,76.87679311776147,10561.605297960341,-51.076546012528986
22,28.438286297508583,76.86617210426627,10566.194735001773,-45.851713172264915
23,28.43293183001757,76.85555174195183,10570.337379351258,-41.38378454662212
24,28.42757819773664,76.84493202262249,10574.096608441323,-37.54963003016338
25,28.422225412586723,76.83431293957273,10577.526249922812,-34.25375183589063
26,28.416873484998632,76.82369448535196,10580.67344641313,-31.42929963684902
27,28.411522423913066,76.81307665548987,10583.57908949256,-29.01376310653428
28,28.40617223454543,76.80245944253583,10586.27638174221,-26.93025226063379
29,28.40082292583642,76.79184284499976,10588.795668445528,-25.150194144912586
30,28.395474501511327,76.7812268584113,10591.161673422903,-23.61737415111885
31,28.390126964550383,76.77061147904516,10593.396803364158,-22.308620988495942
32,28.38478032165911,76.75999670541121,10595.519617665559,-21.18546170658784
33,28.379434574327625,76.74938253452925,10597.545171156526,-20.21285067416012
34,28.3740897247911,76.73876896416407,10599.488061387092,-19.3862150973771
35,28.36874577751989,76.72815599357062,10601.359595544636,-18.6726513422209
36,28.363402734004104,76.71754362051375,10603.170269634575,-18.064047603973233
37,28.35806059573386,76.70693184499345,10604.92860339582,-17.54064123994932
38,28.35271936270916,76.69632066328441,10606.641895603389,-17.09022258884512
39,28.347379037910233,76.68571007613171,10608.316648751497,-16.70482885754974
40,28.34203962208214,76.67510008279028,10609.958437737077,-16.37518408066877
41,28.336701116714995,76.66449068326013,10611.571804620326,-16.090959890850865
42,28.331363521063743,76.65388187530607,10613.161103334278,-15.850275016495297
43,28.326026837363553,76.64327365967317,10614.729214459658,-15.638395934470518
44,28.320691064869372,76.63266603561637,10616.27948610112,-15.459997899004302
45,28.315356205071314,76.62205900239061,10617.81448777765,-15.307295031019757
46,28.31002225796938,76.61145256148602,10619.336029049009,-15.172687775560926
